x_pos,cosine
-56,1.0
-48,0.9653689861297607
-41,0.9585503339767456
-34,0.9570239782333374
-27,0.9506694078445435
-20,0.9535195231437683
-12,0.9539960026741028
-5,0.951457679271698
1,0.9509234428405762
8,0.9504126310348511
15,0.9520469903945923
22,0.950417160987854
30,0.9530108571052551
37,0.9518218636512756
44,0.9562540054321289
51,0.954395055770874
58,0.9612281322479248
66,0.9587704539299011
73,0.9586914777755737
80,0.957654595375061
87,0.9579317569732666
94,0.9565078020095825
101,0.9543901681900024
109,0.9544084072113037
116,0.9522621631622314
123,0.9537023305892944
130,0.9534176588058472
137,0.9560136795043945
145,0.9515162706375122
152,0.95377516746521
159,0.950571596622467
166,0.9493703842163086
173,0.9487266540527344
180,0.9486067295074463
188,0.9521749019622803
195,0.948228120803833
202,0.955289900302887
209,0.9517769813537598
216,0.9655793905258179
224,1.0
