x_pos,cos_full_vs_occ,baseline_name,baseline_value
-56,1.0,,
-48,0.9521117806434631,,
-41,0.94489985704422,,
-34,0.9444234371185303,,
-27,0.9385846257209778,,
-20,0.9421119093894958,,
-12,0.9354115128517151,,
-5,0.9404897689819336,,
1,0.9310207962989807,,
8,0.932002067565918,,
15,0.9306337237358093,,
22,0.9317337870597839,,
30,0.9315893650054932,,
37,0.9288384318351746,,
44,0.9325472712516785,,
51,0.9279279708862305,,
58,0.9355605244636536,,
66,0.9351356625556946,,
73,0.9339985847473145,,
80,0.9343250393867493,,
87,0.9352188110351562,,
94,0.9337801933288574,,
101,0.9362624287605286,,
109,0.9406078457832336,,
116,0.938276469707489,,
123,0.9421079754829407,,
130,0.9390032887458801,,
137,0.942318856716156,,
145,0.9407558441162109,,
152,0.9362418055534363,,
159,0.9345841407775879,,
166,0.9334561824798584,,
173,0.9373569488525391,,
180,0.9365909695625305,,
188,0.9368309378623962,,
195,0.9342296123504639,,
202,0.9401278495788574,,
209,0.9370716214179993,,
216,0.9515528082847595,,
224,1.0,,
,,circle_vs_square,0.8857781887054443
,,circle_vs_triangle,0.9237530827522278
