x_pos,cos_full_vs_occ,baseline_name,baseline_value
-56,1.0,,
-48,0.9866836071014404,,
-41,0.9859148859977722,,
-34,0.9842791557312012,,
-27,0.9828962683677673,,
-20,0.9824151992797852,,
-12,0.9790746569633484,,
-5,0.9818634390830994,,
1,0.9848096370697021,,
8,0.985185444355011,,
15,0.98683100938797,,
22,0.9874677658081055,,
30,0.9881105422973633,,
37,0.9889950752258301,,
44,0.988961398601532,,
51,0.9894824028015137,,
58,0.9891119003295898,,
66,0.9877622723579407,,
73,0.9889920353889465,,
80,0.9908398985862732,,
87,0.9876590371131897,,
94,0.9878564476966858,,
101,0.986773669719696,,
109,0.9877979159355164,,
116,0.9884379506111145,,
123,0.9886321425437927,,
130,0.9891359806060791,,
137,0.9881162643432617,,
145,0.9891395568847656,,
152,0.9886139035224915,,
159,0.988496720790863,,
166,0.9886061549186707,,
173,0.9867865443229675,,
180,0.9860108494758606,,
188,0.9869003891944885,,
195,0.9859363436698914,,
202,0.9869656562805176,,
209,0.9855980277061462,,
216,0.988547146320343,,
224,1.0,,
,,square_vs_circle,0.900413990020752
,,square_vs_triangle,0.9542266726493835
