x_pos,cos_full_vs_occ,baseline_name,baseline_value
-56,1.0,,
-48,0.9788675308227539,,
-41,0.9763900637626648,,
-34,0.9757815003395081,,
-27,0.972602128982544,,
-20,0.9747942090034485,,
-12,0.9702264666557312,,
-5,0.9734930992126465,,
1,0.97087162733078,,
8,0.9732088446617126,,
15,0.9732269644737244,,
22,0.9747467041015625,,
30,0.9752440452575684,,
37,0.974267303943634,,
44,0.9767513275146484,,
51,0.9713007807731628,,
58,0.9740085005760193,,
66,0.9728660583496094,,
73,0.9741547107696533,,
80,0.9738907217979431,,
87,0.9704682230949402,,
94,0.9695889949798584,,
101,0.9714258313179016,,
109,0.9776032567024231,,
116,0.9750261902809143,,
123,0.9764003753662109,,
130,0.9763223528862,,
137,0.9780731797218323,,
145,0.977569580078125,,
152,0.9760516285896301,,
159,0.9763138890266418,,
166,0.9746245741844177,,
173,0.972539484500885,,
180,0.9721192717552185,,
188,0.9724958539009094,,
195,0.9721134305000305,,
202,0.9724305272102356,,
209,0.9710248112678528,,
216,0.978416919708252,,
224,1.0,,
,,triangle_vs_circle,0.9461393356323242
,,triangle_vs_square,0.9487025737762451
