x_pos,cos_full_vs_occ
-56,1.0000001192092896
-48,1.0000001192092896
-41,0.9340268969535828
-34,0.9033306241035461
-27,0.892711877822876
-20,0.8848409652709961
-12,0.8654066920280457
-5,0.858875036239624
1,0.8535752296447754
8,0.852030336856842
15,0.8441882729530334
22,0.8392958045005798
30,0.8398494720458984
37,0.819878101348877
44,0.811551034450531
51,0.7991692423820496
58,0.7867233157157898
66,0.7864432334899902
73,0.7716750502586365
80,0.7400059700012207
87,0.7151928544044495
94,0.6811925768852234
101,0.7058689594268799
109,0.7251660823822021
116,0.7421202063560486
123,0.7635453343391418
130,0.7769794464111328
137,0.813347578048706
145,0.8145352005958557
152,0.825878918170929
159,0.8274723887443542
166,0.8412685394287109
173,0.8480815887451172
180,0.8595662117004395
188,0.8715727925300598
195,0.880742609500885
202,0.8953438401222229
209,0.9272630214691162
216,1.0000001192092896
224,1.0000001192092896

baseline_name,baseline_value
triangle_vs_circle,0.5941185355186462
triangle_vs_square,0.6275772452354431
