x_pos,cos_full_vs_occ
-56,1.0
-48,0.9788675904273987
-41,0.9763900637626648
-34,0.9757816195487976
-27,0.9726021885871887
-20,0.9747942090034485
-12,0.970226526260376
-5,0.9734930992126465
1,0.9708716869354248
8,0.9732089042663574
15,0.9732269644737244
22,0.9747467041015625
30,0.9752440452575684
37,0.974267303943634
44,0.9767513275146484
51,0.9713008403778076
58,0.9740085601806641
66,0.9728660583496094
73,0.9741547703742981
80,0.9738907217979431
87,0.970468282699585
94,0.9695890545845032
101,0.9714259505271912
109,0.9776033759117126
116,0.9750263094902039
123,0.9764005541801453
130,0.9763223528862
137,0.9780732989311218
145,0.9775696396827698
152,0.9760517477989197
159,0.9763138890266418
166,0.9746246337890625
173,0.9725396037101746
180,0.9721193313598633
188,0.972495973110199
195,0.9721134305000305
202,0.9724307060241699
209,0.9710248112678528
216,0.9784169793128967
224,1.0

baseline_name,baseline_value
triangle_vs_circle,0.9461393356323242
triangle_vs_square,0.9487026333808899
