x_pos,cos_full_vs_occ
-56,1.0000001192092896
-48,0.9521118998527527
-41,0.94489985704422
-34,0.944423496723175
-27,0.9385847449302673
-20,0.9421119689941406
-12,0.9354116320610046
-5,0.9404898285865784
1,0.9310209155082703
8,0.9320021271705627
15,0.9306337237358093
22,0.9317337870597839
30,0.9315894246101379
37,0.9288385510444641
44,0.9325472712516785
51,0.9279279708862305
58,0.9355605244636536
66,0.9351356625556946
73,0.9339985847473145
80,0.9343250393867493
87,0.935218870639801
94,0.9337801933288574
101,0.9362625479698181
109,0.9406078457832336
116,0.938276469707489
123,0.9421080946922302
130,0.9390034675598145
137,0.9423189163208008
145,0.9407558441162109
152,0.9362418055534363
159,0.9345842003822327
166,0.9334562420845032
173,0.9373569488525391
180,0.9365909695625305
188,0.936830997467041
195,0.9342296123504639
202,0.9401278495788574
209,0.9370717406272888
216,0.9515528678894043
224,1.0000001192092896

baseline_name,baseline_value
circle_vs_square,0.8857782483100891
circle_vs_triangle,0.9237530827522278
