x_pos,cos_full_vs_occ
-56,1.0
-48,1.0
-41,0.9485494494438171
-34,0.9038982391357422
-27,0.8953461647033691
-20,0.8899478912353516
-12,0.8742061257362366
-5,0.8630871176719666
1,0.860011100769043
8,0.8552743792533875
15,0.8525232672691345
22,0.8477358818054199
30,0.8472013473510742
37,0.8430034518241882
44,0.8423068523406982
51,0.8513079285621643
58,0.8516319394111633
66,0.8608055114746094
73,0.880031406879425
80,0.8749732971191406
87,0.8792009353637695
94,0.8736646771430969
101,0.8901304602622986
109,0.8506147265434265
116,0.8462648391723633
123,0.8459146618843079
130,0.8526771068572998
137,0.863534152507782
145,0.8533837199211121
152,0.8548531532287598
159,0.8632502555847168
166,0.8679730296134949
173,0.8732096552848816
180,0.8771056532859802
188,0.8883612751960754
195,0.8908351063728333
202,0.9015299677848816
209,0.9402597546577454
216,1.0
224,1.0

baseline_name,baseline_value
square_vs_circle,0.6052908301353455
square_vs_triangle,0.5872304439544678
